target,horizon,feature,feature_label,is_exogenous,coef,abs_coef
Trimmed mean,1,trimmed_mean_cpi_yoy_lag1,"Trimmed Mean CPI YoY (lag 1, autoregressive)",False,0.596242,0.596242
Trimmed mean,1,trimmed_mean_cpi_yoy_lag4,"Trimmed Mean CPI YoY (lag 4, autoregressive)",False,-0.054544,0.054544
Trimmed mean,1,cash_rate_change_lag1,Cash Rate Change (lag 1),True,0.0,0.0
Trimmed mean,1,unemployment_rate_change_lag1,Unemployment Rate Change (lag 1),True,-0.0,0.0
Trimmed mean,1,inflation_expectations_business_lag1,Business Inflation Expectations (lag 1),True,0.426216,0.426216
Trimmed mean,1,ppi_growth_lag1,ppi_growth_lag1,True,0.062078,0.062078
Trimmed mean,1,commodity_growth_lag1,Commodity Price Growth (lag 1),True,0.0,0.0
Trimmed mean,1,wti_growth_lag1,WTI Oil Price Growth (lag 1),True,0.061965,0.061965
Trimmed mean,1,commodity_growth_lag1_sq,Commodity Price Growth Squared (lag 1),True,-0.0,0.0
Trimmed mean,1,wti_growth_lag1_sq,WTI Oil Price Growth Squared (lag 1),True,0.0,0.0
Trimmed mean,1,cash_rate_change_lag1_x_unemployment_rate_change_lag1,Cash Rate Change x Unemployment Rate Change Interaction (lag 1),True,-0.055939,0.055939
Trimmed mean,2,trimmed_mean_cpi_yoy_lag1,"Trimmed Mean CPI YoY (lag 1, autoregressive)",False,0.301551,0.301551
Trimmed mean,2,trimmed_mean_cpi_yoy_lag4,"Trimmed Mean CPI YoY (lag 4, autoregressive)",False,-0.003185,0.003185
Trimmed mean,2,cash_rate_change_lag1,Cash Rate Change (lag 1),True,-0.0,0.0
Trimmed mean,2,unemployment_rate_change_lag1,Unemployment Rate Change (lag 1),True,-0.031302,0.031302
Trimmed mean,2,inflation_expectations_business_lag1,Business Inflation Expectations (lag 1),True,0.562328,0.562328
Trimmed mean,2,ppi_growth_lag1,ppi_growth_lag1,True,0.066561,0.066561
Trimmed mean,2,commodity_growth_lag1,Commodity Price Growth (lag 1),True,0.0,0.0
Trimmed mean,2,wti_growth_lag1,WTI Oil Price Growth (lag 1),True,0.114879,0.114879
Trimmed mean,2,commodity_growth_lag1_sq,Commodity Price Growth Squared (lag 1),True,-0.0,0.0
Trimmed mean,2,wti_growth_lag1_sq,WTI Oil Price Growth Squared (lag 1),True,0.0,0.0
Trimmed mean,2,cash_rate_change_lag1_x_unemployment_rate_change_lag1,Cash Rate Change x Unemployment Rate Change Interaction (lag 1),True,-0.10035,0.10035
Trimmed mean,3,trimmed_mean_cpi_yoy_lag1,"Trimmed Mean CPI YoY (lag 1, autoregressive)",False,0.112664,0.112664
Trimmed mean,3,trimmed_mean_cpi_yoy_lag4,"Trimmed Mean CPI YoY (lag 4, autoregressive)",False,-0.0,0.0
Trimmed mean,3,cash_rate_change_lag1,Cash Rate Change (lag 1),True,-0.0,0.0
Trimmed mean,3,unemployment_rate_change_lag1,Unemployment Rate Change (lag 1),True,-0.083045,0.083045
Trimmed mean,3,inflation_expectations_business_lag1,Business Inflation Expectations (lag 1),True,0.549442,0.549442
Trimmed mean,3,ppi_growth_lag1,ppi_growth_lag1,True,0.041549,0.041549
Trimmed mean,3,commodity_growth_lag1,Commodity Price Growth (lag 1),True,0.0,0.0
Trimmed mean,3,wti_growth_lag1,WTI Oil Price Growth (lag 1),True,0.062995,0.062995
Trimmed mean,3,commodity_growth_lag1_sq,Commodity Price Growth Squared (lag 1),True,0.0,0.0
Trimmed mean,3,wti_growth_lag1_sq,WTI Oil Price Growth Squared (lag 1),True,0.0,0.0
Trimmed mean,3,cash_rate_change_lag1_x_unemployment_rate_change_lag1,Cash Rate Change x Unemployment Rate Change Interaction (lag 1),True,-0.0892,0.0892
