target,model,forecast_origin,target_quarter,error,is_recent
Headline,sarima,2011Q1,2011Q2,-0.026827,False
Headline,sarima,2011Q2,2011Q3,-0.606695,False
Headline,sarima,2011Q3,2011Q4,-0.447721,False
Headline,sarima,2011Q4,2012Q1,-0.594456,False
Headline,sarima,2012Q1,2012Q2,-0.091347,False
Headline,sarima,2012Q2,2012Q3,0.386581,False
Headline,sarima,2012Q3,2012Q4,-0.425626,False
Headline,sarima,2012Q4,2013Q1,-0.255148,False
Headline,sarima,2013Q1,2013Q2,-0.211014,False
Headline,sarima,2013Q2,2013Q3,0.194318,False
Headline,sarima,2013Q3,2013Q4,0.120014,False
Headline,sarima,2013Q4,2014Q1,0.0031,False
Headline,sarima,2014Q1,2014Q2,-0.096993,False
Headline,sarima,2014Q2,2014Q3,-0.643322,False
Headline,sarima,2014Q3,2014Q4,-0.597874,False
Headline,sarima,2014Q4,2015Q1,-0.159581,False
Headline,sarima,2015Q1,2015Q2,0.258765,False
Headline,sarima,2015Q2,2015Q3,-0.634988,False
Headline,sarima,2015Q3,2015Q4,-0.021369,False
Headline,sarima,2015Q4,2016Q1,-0.547858,False
Headline,sarima,2016Q1,2016Q2,-0.049019,False
Headline,sarima,2016Q2,2016Q3,-0.092062,False
Headline,sarima,2016Q3,2016Q4,-0.255139,False
Headline,sarima,2016Q4,2017Q1,0.17572,False
Headline,sarima,2017Q1,2017Q2,-0.249921,False
Headline,sarima,2017Q2,2017Q3,-0.265945,False
Headline,sarima,2017Q3,2017Q4,0.362178,False
Headline,sarima,2017Q4,2018Q1,-0.051273,False
Headline,sarima,2018Q1,2018Q2,-0.213038,False
Headline,sarima,2018Q2,2018Q3,-0.313834,False
Headline,sarima,2018Q3,2018Q4,-0.186654,False
Headline,sarima,2018Q4,2019Q1,-0.371212,False
Headline,sarima,2019Q1,2019Q2,0.257779,False
Headline,sarima,2019Q2,2019Q3,-0.064885,False
Headline,sarima,2019Q3,2019Q4,0.094282,False
Headline,sarima,2019Q4,2020Q1,0.053881,False
Headline,sarima,2020Q1,2020Q2,-2.489175,False
Headline,sarima,2020Q2,2020Q3,1.2063,False
Headline,sarima,2020Q3,2020Q4,0.559488,False
Headline,sarima,2020Q4,2021Q1,-0.066223,False
Headline,sarima,2021Q1,2021Q2,0.800188,False
Headline,sarima,2021Q2,2021Q3,0.230907,False
Headline,sarima,2021Q3,2021Q4,0.955698,False
Headline,sarima,2021Q4,2022Q1,1.520011,False
Headline,sarima,2022Q1,2022Q2,1.191034,False
Headline,sarima,2022Q2,2022Q3,0.782332,False
