system,target,forecast_origin,quarter,shock,shock_z,flagged
System A,cpi_yoy,2025Q4,2018Q4,cpi_yoy,-1.0868266045254382,False
System A,cpi_yoy,2025Q4,2019Q1,cpi_yoy,-1.391902852374919,False
System A,cpi_yoy,2025Q4,2019Q2,cpi_yoy,-0.08284225634569528,False
System A,cpi_yoy,2025Q4,2019Q3,cpi_yoy,-0.4087771859867834,False
System A,cpi_yoy,2025Q4,2019Q4,cpi_yoy,0.16719388594679738,False
System A,cpi_yoy,2025Q4,2020Q1,cpi_yoy,0.7240447298690036,False
System A,cpi_yoy,2025Q4,2020Q2,cpi_yoy,-1.6050251479958833,False
System A,cpi_yoy,2025Q4,2020Q3,cpi_yoy,0.7183609278310962,False
System A,cpi_yoy,2025Q4,2020Q4,cpi_yoy,-0.38039187384350215,False
System A,cpi_yoy,2025Q4,2021Q1,cpi_yoy,-1.5553416841839398,False
System A,cpi_yoy,2025Q4,2021Q2,cpi_yoy,2.7045557136678515,True
System A,cpi_yoy,2025Q4,2021Q3,cpi_yoy,-2.0076244535591754,True
System A,cpi_yoy,2025Q4,2021Q4,cpi_yoy,0.7443643197461275,False
System A,cpi_yoy,2025Q4,2022Q1,cpi_yoy,0.6046166683601055,False
System A,cpi_yoy,2025Q4,2022Q2,cpi_yoy,1.0502907554604044,False
System A,cpi_yoy,2025Q4,2022Q3,cpi_yoy,0.9170774974135854,False
System A,cpi_yoy,2025Q4,2022Q4,cpi_yoy,0.03856652886726665,False
System A,cpi_yoy,2025Q4,2023Q1,cpi_yoy,-0.3071612643735021,False
System A,cpi_yoy,2025Q4,2023Q2,cpi_yoy,-0.657170572536413,False
System A,cpi_yoy,2025Q4,2023Q3,cpi_yoy,-0.7579314415201996,False
System A,cpi_yoy,2025Q4,2023Q4,cpi_yoy,-1.4455443061035131,False
System A,cpi_yoy,2025Q4,2024Q1,cpi_yoy,-0.5217897312094404,False
System A,cpi_yoy,2025Q4,2024Q2,cpi_yoy,0.4355771824903417,False
System A,cpi_yoy,2025Q4,2024Q3,cpi_yoy,-1.343391643517907,False
System A,cpi_yoy,2025Q4,2024Q4,cpi_yoy,-1.3223028674051582,False
System A,cpi_yoy,2025Q4,2025Q1,cpi_yoy,-0.2951613085784581,False
System A,cpi_yoy,2025Q4,2025Q2,cpi_yoy,-0.4539971774195847,False
System A,cpi_yoy,2025Q4,2025Q3,cpi_yoy,1.2182198321619835,False
System A,cpi_yoy,2025Q4,2025Q4,cpi_yoy,0.7381814869165372,False
System B,trimmed_mean_cpi_yoy,2025Q4,1995Q4,trimmed_mean_cpi_yoy,-0.783006327550557,False
System B,trimmed_mean_cpi_yoy,2025Q4,1996Q1,trimmed_mean_cpi_yoy,0.13781790254765042,False
System B,trimmed_mean_cpi_yoy,2025Q4,1996Q2,trimmed_mean_cpi_yoy,-0.3301090113693317,False
System B,trimmed_mean_cpi_yoy,2025Q4,1996Q3,trimmed_mean_cpi_yoy,-0.7440967272392851,False
System B,trimmed_mean_cpi_yoy,2025Q4,1996Q4,trimmed_mean_cpi_yoy,0.2764904787845825,False
System B,trimmed_mean_cpi_yoy,2025Q4,1997Q1,trimmed_mean_cpi_yoy,1.1812150450178214,False
System B,trimmed_mean_cpi_yoy,2025Q4,1997Q2,trimmed_mean_cpi_yoy,-1.8557661117360558,False
System B,trimmed_mean_cpi_yoy,2025Q4,1997Q3,trimmed_mean_cpi_yoy,-0.4320217545630982,False
System B,trimmed_mean_cpi_yoy,2025Q4,1997Q4,trimmed_mean_cpi_yoy,0.7656486587222728,False
System B,trimmed_mean_cpi_yoy,2025Q4,1998Q1,trimmed_mean_cpi_yoy,-0.98384911795097,False
System B,trimmed_mean_cpi_yoy,2025Q4,1998Q2,trimmed_mean_cpi_yoy,1.0084593420002432,False
System B,trimmed_mean_cpi_yoy,2025Q4,1998Q3,trimmed_mean_cpi_yoy,0.005791216511736249,False
System B,trimmed_mean_cpi_yoy,2025Q4,1998Q4,trimmed_mean_cpi_yoy,-1.5963007848363644,False
System B,trimmed_mean_cpi_yoy,2025Q4,1999Q1,trimmed_mean_cpi_yoy,0.778496461732364,False
System B,trimmed_mean_cpi_yoy,2025Q4,1999Q2,trimmed_mean_cpi_yoy,0.049308952372567064,False
System B,trimmed_mean_cpi_yoy,2025Q4,1999Q3,trimmed_mean_cpi_yoy,2.349496022657514,True
System B,trimmed_mean_cpi_yoy,2025Q4,1999Q4,trimmed_mean_cpi_yoy,-0.2373572494524508,False
System B,trimmed_mean_cpi_yoy,2025Q4,2000Q1,trimmed_mean_cpi_yoy,1.1969024676116902,False
System B,trimmed_mean_cpi_yoy,2025Q4,2000Q2,trimmed_mean_cpi_yoy,0.07502684971918089,False
System B,trimmed_mean_cpi_yoy,2025Q4,2000Q3,trimmed_mean_cpi_yoy,-2.1698173177580746,True
System B,trimmed_mean_cpi_yoy,2025Q4,2000Q4,trimmed_mean_cpi_yoy,0.18828430546903493,False
System B,trimmed_mean_cpi_yoy,2025Q4,2001Q1,trimmed_mean_cpi_yoy,0.7926298959613572,False
System B,trimmed_mean_cpi_yoy,2025Q4,2001Q2,trimmed_mean_cpi_yoy,0.45453645415092725,False
System B,trimmed_mean_cpi_yoy,2025Q4,2001Q3,trimmed_mean_cpi_yoy,-0.09271527716998883,False
System B,trimmed_mean_cpi_yoy,2025Q4,2001Q4,trimmed_mean_cpi_yoy,1.383474542735487,False
System B,trimmed_mean_cpi_yoy,2025Q4,2002Q1,trimmed_mean_cpi_yoy,-0.7992934142596387,False
System B,trimmed_mean_cpi_yoy,2025Q4,2002Q2,trimmed_mean_cpi_yoy,0.42371210355123295,False
System B,trimmed_mean_cpi_yoy,2025Q4,2002Q3,trimmed_mean_cpi_yoy,1.0564878390286538,False
System B,trimmed_mean_cpi_yoy,2025Q4,2002Q4,trimmed_mean_cpi_yoy,-0.2102161082357696,False
System B,trimmed_mean_cpi_yoy,2025Q4,2003Q1,trimmed_mean_cpi_yoy,1.138094637970725,False
System B,trimmed_mean_cpi_yoy,2025Q4,2003Q2,trimmed_mean_cpi_yoy,0.12271685912562807,False
System B,trimmed_mean_cpi_yoy,2025Q4,2003Q3,trimmed_mean_cpi_yoy,0.5814971934968729,False
System B,trimmed_mean_cpi_yoy,2025Q4,2003Q4,trimmed_mean_cpi_yoy,-0.232386581476546,False
System B,trimmed_mean_cpi_yoy,2025Q4,2004Q1,trimmed_mean_cpi_yoy,0.3448881487398626,False
System B,trimmed_mean_cpi_yoy,2025Q4,2004Q2,trimmed_mean_cpi_yoy,0.5157531339496734,False
System B,trimmed_mean_cpi_yoy,2025Q4,2004Q3,trimmed_mean_cpi_yoy,-0.06457289108617939,False
System B,trimmed_mean_cpi_yoy,2025Q4,2004Q4,trimmed_mean_cpi_yoy,0.05327451000924466,False
System B,trimmed_mean_cpi_yoy,2025Q4,2005Q1,trimmed_mean_cpi_yoy,0.04447911821027319,False
System B,trimmed_mean_cpi_yoy,2025Q4,2005Q2,trimmed_mean_cpi_yoy,-0.41947989375098316,False
System B,trimmed_mean_cpi_yoy,2025Q4,2005Q3,trimmed_mean_cpi_yoy,-0.4890800409037646,False
System B,trimmed_mean_cpi_yoy,2025Q4,2005Q4,trimmed_mean_cpi_yoy,-0.29329033210480066,False
System B,trimmed_mean_cpi_yoy,2025Q4,2006Q1,trimmed_mean_cpi_yoy,0.9908939022042399,False
