group_id,group_name,horizon_range,horizon_cap,features,level_change_selection_note,selected_order,selected_seasonal_order,selected_by,selection_aic,selection_bic,group_origin_n,group_overall_metric_n,previous_nested_origin_n,origin_drop_from_previous_nested_group,sample_size_note,model,horizon,n,rmse,mae
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,sarima,6,53,1.959393,1.258656
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,sarima,7,53,1.982835,1.273205
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,sarima,8,53,1.999048,1.294833
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,seasonal_naive,overall,424,2.149568,1.497038
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,seasonal_naive,1,53,1.71349,1.220592
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,seasonal_naive,2,53,1.739642,1.255721
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,seasonal_naive,3,53,1.770446,1.29138
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,seasonal_naive,4,53,1.782332,1.309682
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,seasonal_naive,5,53,2.444346,1.688413
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,seasonal_naive,6,53,2.496338,1.736933
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,seasonal_naive,7,53,2.499612,1.741053
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,seasonal_naive,8,53,2.497391,1.732526
D,full core,1,1,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,"cash_rate: AIC was inconclusive: level beat change by delta AIC 0.618, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1). | unemployment_rate: AIC was inconclusive: level beat change by delta AIC 0.476, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1).","(0, 0, 1)","(1, 0, 1, 4)",aic,206.130994,231.563942,66,66,73.0,7.0,Copied from reports/model_comparison_sarimax.csv Group D; not intersected with the LSTM 8-horizon grid.,sarimax,overall,66,0.905097,0.678292
D,full core,1,1,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,"cash_rate: AIC was inconclusive: level beat change by delta AIC 0.618, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1). | unemployment_rate: AIC was inconclusive: level beat change by delta AIC 0.476, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1).","(0, 0, 1)","(1, 0, 1, 4)",aic,206.130994,231.563942,66,66,73.0,7.0,Copied from reports/model_comparison_sarimax.csv Group D; not intersected with the LSTM 8-horizon grid.,sarimax,1,66,0.905097,0.678292
