model_family,target_column,forecast_origin,draw_id,horizon,target_quarter,value
ensemble,cpi_yoy,2025Q4,21,3,2026Q3,5.420720800765118
ensemble,cpi_yoy,2025Q4,21,4,2026Q4,6.068110742351328
ensemble,cpi_yoy,2025Q4,21,5,2027Q1,5.676012457524493
ensemble,cpi_yoy,2025Q4,21,6,2027Q2,4.620463529582503
ensemble,cpi_yoy,2025Q4,21,7,2027Q3,3.7122574995231994
ensemble,cpi_yoy,2025Q4,21,8,2027Q4,3.03909199474226
ensemble,cpi_yoy,2025Q4,22,1,2026Q1,3.954652906829436
ensemble,cpi_yoy,2025Q4,22,2,2026Q2,4.0571012506400645
ensemble,cpi_yoy,2025Q4,22,3,2026Q3,3.7733460195304147
ensemble,cpi_yoy,2025Q4,22,4,2026Q4,3.7570280797740843
ensemble,cpi_yoy,2025Q4,22,5,2027Q1,3.5164690773172294
ensemble,cpi_yoy,2025Q4,22,6,2027Q2,3.3013627049690797
ensemble,cpi_yoy,2025Q4,22,7,2027Q3,2.9379220319660964
ensemble,cpi_yoy,2025Q4,22,8,2027Q4,2.445977300175352
ensemble,cpi_yoy,2025Q4,23,1,2026Q1,3.162170914638657
ensemble,cpi_yoy,2025Q4,23,2,2026Q2,2.669747216875219
ensemble,cpi_yoy,2025Q4,23,3,2026Q3,2.006132957541684
ensemble,cpi_yoy,2025Q4,23,4,2026Q4,1.4711602967512716
ensemble,cpi_yoy,2025Q4,23,5,2027Q1,1.6078464775116346
ensemble,cpi_yoy,2025Q4,23,6,2027Q2,2.2526801752479417
ensemble,cpi_yoy,2025Q4,23,7,2027Q3,1.7757018366114496
ensemble,cpi_yoy,2025Q4,23,8,2027Q4,2.595137558842045
ensemble,cpi_yoy,2025Q4,24,1,2026Q1,3.3764921166116837
ensemble,cpi_yoy,2025Q4,24,2,2026Q2,3.379298747393424
ensemble,cpi_yoy,2025Q4,24,3,2026Q3,3.2301684551069814
ensemble,cpi_yoy,2025Q4,24,4,2026Q4,2.802527665737227
ensemble,cpi_yoy,2025Q4,24,5,2027Q1,1.9575586321488068
ensemble,cpi_yoy,2025Q4,24,6,2027Q2,1.8697461898267624
ensemble,cpi_yoy,2025Q4,24,7,2027Q3,1.6547549302204891
ensemble,cpi_yoy,2025Q4,24,8,2027Q4,1.738507650010851
ensemble,cpi_yoy,2025Q4,25,1,2026Q1,3.7731404383527303
ensemble,cpi_yoy,2025Q4,25,2,2026Q2,4.651380923413127
ensemble,cpi_yoy,2025Q4,25,3,2026Q3,4.780670591052311
ensemble,cpi_yoy,2025Q4,25,4,2026Q4,4.465525270076984
ensemble,cpi_yoy,2025Q4,25,5,2027Q1,4.207995182000522
ensemble,cpi_yoy,2025Q4,25,6,2027Q2,3.4887108646555554
ensemble,cpi_yoy,2025Q4,25,7,2027Q3,3.340601547211739
ensemble,cpi_yoy,2025Q4,25,8,2027Q4,2.748097444088091
ensemble,cpi_yoy,2025Q4,26,1,2026Q1,2.0383943030662808
ensemble,cpi_yoy,2025Q4,26,2,2026Q2,2.03642229999535
ensemble,cpi_yoy,2025Q4,26,3,2026Q3,0.9738924361508201
ensemble,cpi_yoy,2025Q4,26,4,2026Q4,1.3865140512547256
ensemble,cpi_yoy,2025Q4,26,5,2027Q1,2.0671516454138694
ensemble,cpi_yoy,2025Q4,26,6,2027Q2,1.7367724372105149
ensemble,cpi_yoy,2025Q4,26,7,2027Q3,2.3624883465135333
ensemble,cpi_yoy,2025Q4,26,8,2027Q4,2.059378564450655
ensemble,cpi_yoy,2025Q4,27,1,2026Q1,2.1161865562856175
ensemble,cpi_yoy,2025Q4,27,2,2026Q2,1.8133998328411787
ensemble,cpi_yoy,2025Q4,27,3,2026Q3,1.7742932457518488
ensemble,cpi_yoy,2025Q4,27,4,2026Q4,2.191090453802727
ensemble,cpi_yoy,2025Q4,27,5,2027Q1,2.4430005277604554
ensemble,cpi_yoy,2025Q4,27,6,2027Q2,2.2258461489398
ensemble,cpi_yoy,2025Q4,27,7,2027Q3,2.1056071861312176
ensemble,cpi_yoy,2025Q4,27,8,2027Q4,2.8872820961919725
ensemble,cpi_yoy,2025Q4,28,1,2026Q1,3.5761474432049387
ensemble,cpi_yoy,2025Q4,28,2,2026Q2,3.3861557046486483
ensemble,cpi_yoy,2025Q4,28,3,2026Q3,3.009969981289239
ensemble,cpi_yoy,2025Q4,28,4,2026Q4,3.7020153540258987
ensemble,cpi_yoy,2025Q4,28,5,2027Q1,4.0908821152598325
ensemble,cpi_yoy,2025Q4,28,6,2027Q2,4.093036457756149
ensemble,cpi_yoy,2025Q4,28,7,2027Q3,4.4138800069645825
ensemble,cpi_yoy,2025Q4,28,8,2027Q4,3.5901026715009126
ensemble,cpi_yoy,2025Q4,29,1,2026Q1,3.3458495006292406
ensemble,cpi_yoy,2025Q4,29,2,2026Q2,3.5946468776487785
ensemble,cpi_yoy,2025Q4,29,3,2026Q3,3.322731598818822
ensemble,cpi_yoy,2025Q4,29,4,2026Q4,5.336738422436965
ensemble,cpi_yoy,2025Q4,29,5,2027Q1,4.605132557991958
ensemble,cpi_yoy,2025Q4,29,6,2027Q2,4.715557321667498
ensemble,cpi_yoy,2025Q4,29,7,2027Q3,5.48024093276379
ensemble,cpi_yoy,2025Q4,29,8,2027Q4,5.751438512626728
ensemble,cpi_yoy,2025Q4,30,1,2026Q1,2.8033587791780974
ensemble,cpi_yoy,2025Q4,30,2,2026Q2,2.8966852236498952
ensemble,cpi_yoy,2025Q4,30,3,2026Q3,2.647857201237018
ensemble,cpi_yoy,2025Q4,30,4,2026Q4,2.9438887216499854
ensemble,cpi_yoy,2025Q4,30,5,2027Q1,3.1171045962930974
ensemble,cpi_yoy,2025Q4,30,6,2027Q2,2.999307632513378
ensemble,cpi_yoy,2025Q4,30,7,2027Q3,2.995760336695253
ensemble,cpi_yoy,2025Q4,30,8,2027Q4,2.6364626016526813
ensemble,cpi_yoy,2025Q4,31,1,2026Q1,3.4540926693537637
ensemble,cpi_yoy,2025Q4,31,2,2026Q2,3.760070334527101
ensemble,cpi_yoy,2025Q4,31,3,2026Q3,3.872300257177608
ensemble,cpi_yoy,2025Q4,31,4,2026Q4,3.2777806967795615
ensemble,cpi_yoy,2025Q4,31,5,2027Q1,3.0473237110340734
ensemble,cpi_yoy,2025Q4,31,6,2027Q2,2.2060095194901717
ensemble,cpi_yoy,2025Q4,31,7,2027Q3,1.9127079761204242
ensemble,cpi_yoy,2025Q4,31,8,2027Q4,2.2637644194807467
ensemble,cpi_yoy,2025Q4,32,1,2026Q1,3.5645371306609093
ensemble,cpi_yoy,2025Q4,32,2,2026Q2,3.2468771456913754
ensemble,cpi_yoy,2025Q4,32,3,2026Q3,3.2057105502099894
ensemble,cpi_yoy,2025Q4,32,4,2026Q4,3.488068427512432
ensemble,cpi_yoy,2025Q4,32,5,2027Q1,3.408079820084528
ensemble,cpi_yoy,2025Q4,32,6,2027Q2,3.2996702834953355
ensemble,cpi_yoy,2025Q4,32,7,2027Q3,2.3529856519251786
ensemble,cpi_yoy,2025Q4,32,8,2027Q4,1.6687903773363426
ensemble,cpi_yoy,2025Q4,33,1,2026Q1,3.155237050414538
ensemble,cpi_yoy,2025Q4,33,2,2026Q2,2.8913399410867004
ensemble,cpi_yoy,2025Q4,33,3,2026Q3,1.284535232822023
ensemble,cpi_yoy,2025Q4,33,4,2026Q4,0.9777761941516727
ensemble,cpi_yoy,2025Q4,33,5,2027Q1,0.40357271704259323
ensemble,cpi_yoy,2025Q4,33,6,2027Q2,0.4531010648672973
ensemble,cpi_yoy,2025Q4,33,7,2027Q3,1.0002687024372001
ensemble,cpi_yoy,2025Q4,33,8,2027Q4,1.622263316416416
ensemble,cpi_yoy,2025Q4,34,1,2026Q1,3.550135015606819
ensemble,cpi_yoy,2025Q4,34,2,2026Q2,3.4270923266962683
ensemble,cpi_yoy,2025Q4,34,3,2026Q3,3.5477681701698556
ensemble,cpi_yoy,2025Q4,34,4,2026Q4,3.2040156994373263
ensemble,cpi_yoy,2025Q4,34,5,2027Q1,2.7000993717928066
ensemble,cpi_yoy,2025Q4,34,6,2027Q2,2.182651124724323
ensemble,cpi_yoy,2025Q4,34,7,2027Q3,2.217574319564528
ensemble,cpi_yoy,2025Q4,34,8,2027Q4,2.4057275505879394
ensemble,cpi_yoy,2025Q4,35,1,2026Q1,1.9353992841447767
ensemble,cpi_yoy,2025Q4,35,2,2026Q2,1.9312947695469105
ensemble,cpi_yoy,2025Q4,35,3,2026Q3,2.110424054026497
ensemble,cpi_yoy,2025Q4,35,4,2026Q4,2.5619651021032115
ensemble,cpi_yoy,2025Q4,35,5,2027Q1,2.909382838825096
ensemble,cpi_yoy,2025Q4,35,6,2027Q2,2.508042517874193
ensemble,cpi_yoy,2025Q4,35,7,2027Q3,2.167785195508329
ensemble,cpi_yoy,2025Q4,35,8,2027Q4,2.497181756609357
ensemble,cpi_yoy,2025Q4,36,1,2026Q1,2.340361993790563
ensemble,cpi_yoy,2025Q4,36,2,2026Q2,2.200820468716875
ensemble,cpi_yoy,2025Q4,36,3,2026Q3,1.105081819936847
ensemble,cpi_yoy,2025Q4,36,4,2026Q4,1.2574656191956952
ensemble,cpi_yoy,2025Q4,36,5,2027Q1,2.0038790156389776
ensemble,cpi_yoy,2025Q4,36,6,2027Q2,2.205331805948358
ensemble,cpi_yoy,2025Q4,36,7,2027Q3,3.416889281021914
ensemble,cpi_yoy,2025Q4,36,8,2027Q4,3.5781749460356984
ensemble,cpi_yoy,2025Q4,37,1,2026Q1,3.8379469408458373
ensemble,cpi_yoy,2025Q4,37,2,2026Q2,4.052369249428989
ensemble,cpi_yoy,2025Q4,37,3,2026Q3,3.6480247142500266
ensemble,cpi_yoy,2025Q4,37,4,2026Q4,3.398108434742337
ensemble,cpi_yoy,2025Q4,37,5,2027Q1,3.4189662405602026
ensemble,cpi_yoy,2025Q4,37,6,2027Q2,3.625764517057851
ensemble,cpi_yoy,2025Q4,37,7,2027Q3,4.127873223288756
ensemble,cpi_yoy,2025Q4,37,8,2027Q4,3.8547260593408312
ensemble,cpi_yoy,2025Q4,38,1,2026Q1,2.673754543652388
ensemble,cpi_yoy,2025Q4,38,2,2026Q2,2.819786680928328
ensemble,cpi_yoy,2025Q4,38,3,2026Q3,3.5454021754636194
ensemble,cpi_yoy,2025Q4,38,4,2026Q4,3.560769640232396
ensemble,cpi_yoy,2025Q4,38,5,2027Q1,3.4833791479520313
ensemble,cpi_yoy,2025Q4,38,6,2027Q2,3.2029580008940712
ensemble,cpi_yoy,2025Q4,38,7,2027Q3,2.726829511457526
ensemble,cpi_yoy,2025Q4,38,8,2027Q4,2.629985465469053
ensemble,cpi_yoy,2025Q4,39,1,2026Q1,3.0027235331373836
ensemble,cpi_yoy,2025Q4,39,2,2026Q2,3.043684481836184
ensemble,cpi_yoy,2025Q4,39,3,2026Q3,3.122816409849403
ensemble,cpi_yoy,2025Q4,39,4,2026Q4,5.376372150921757
ensemble,cpi_yoy,2025Q4,39,5,2027Q1,5.096556258087162
ensemble,cpi_yoy,2025Q4,39,6,2027Q2,4.98633373307272
ensemble,cpi_yoy,2025Q4,39,7,2027Q3,5.435056803509907
ensemble,cpi_yoy,2025Q4,39,8,2027Q4,5.699678310764385
ensemble,cpi_yoy,2025Q4,40,1,2026Q1,2.8679138789386354
ensemble,cpi_yoy,2025Q4,40,2,2026Q2,2.781736107130152
ensemble,cpi_yoy,2025Q4,40,3,2026Q3,2.648194412282959
ensemble,cpi_yoy,2025Q4,40,4,2026Q4,2.6332594654506583
ensemble,cpi_yoy,2025Q4,40,5,2027Q1,2.1157761931595913
ensemble,cpi_yoy,2025Q4,40,6,2027Q2,1.4909654012085762
ensemble,cpi_yoy,2025Q4,40,7,2027Q3,0.3642642406485832
ensemble,cpi_yoy,2025Q4,40,8,2027Q4,0.7707839909963501
ensemble,cpi_yoy,2025Q4,41,1,2026Q1,3.0529597556208103
ensemble,cpi_yoy,2025Q4,41,2,2026Q2,3.119916726763969
ensemble,cpi_yoy,2025Q4,41,3,2026Q3,3.3851307240294837
ensemble,cpi_yoy,2025Q4,41,4,2026Q4,3.889808763070225
ensemble,cpi_yoy,2025Q4,41,5,2027Q1,4.011833295414144
ensemble,cpi_yoy,2025Q4,41,6,2027Q2,3.849947413480934
ensemble,cpi_yoy,2025Q4,41,7,2027Q3,3.338653638030832
ensemble,cpi_yoy,2025Q4,41,8,2027Q4,3.027333880007062
ensemble,cpi_yoy,2025Q4,42,1,2026Q1,2.4720552521039383
ensemble,cpi_yoy,2025Q4,42,2,2026Q2,2.265359401663957
ensemble,cpi_yoy,2025Q4,42,3,2026Q3,1.91436006597201
ensemble,cpi_yoy,2025Q4,42,4,2026Q4,2.7614274221491675
ensemble,cpi_yoy,2025Q4,42,5,2027Q1,3.4232677925050323
ensemble,cpi_yoy,2025Q4,42,6,2027Q2,3.4134013780248518
ensemble,cpi_yoy,2025Q4,42,7,2027Q3,3.298409271733489
ensemble,cpi_yoy,2025Q4,42,8,2027Q4,2.556019042424669
ensemble,cpi_yoy,2025Q4,43,1,2026Q1,3.34863717789463
ensemble,cpi_yoy,2025Q4,43,2,2026Q2,4.11974612205865
ensemble,cpi_yoy,2025Q4,43,3,2026Q3,3.293991537761855
ensemble,cpi_yoy,2025Q4,43,4,2026Q4,3.1822284934646667
ensemble,cpi_yoy,2025Q4,43,5,2027Q1,3.1027915550343974
ensemble,cpi_yoy,2025Q4,43,6,2027Q2,2.2725275900792345
ensemble,cpi_yoy,2025Q4,43,7,2027Q3,2.426338657669197
ensemble,cpi_yoy,2025Q4,43,8,2027Q4,1.9558854607107712
ensemble,cpi_yoy,2025Q4,44,1,2026Q1,3.0636689202850715
ensemble,cpi_yoy,2025Q4,44,2,2026Q2,2.460059683449024
ensemble,cpi_yoy,2025Q4,44,3,2026Q3,2.314095134896211
ensemble,cpi_yoy,2025Q4,44,4,2026Q4,2.2826866087018987
ensemble,cpi_yoy,2025Q4,44,5,2027Q1,1.7163827718315003
ensemble,cpi_yoy,2025Q4,44,6,2027Q2,1.6964452526007925
ensemble,cpi_yoy,2025Q4,44,7,2027Q3,1.152929832650425
ensemble,cpi_yoy,2025Q4,44,8,2027Q4,1.016518581287689
ensemble,cpi_yoy,2025Q4,45,1,2026Q1,3.272913249034858
ensemble,cpi_yoy,2025Q4,45,2,2026Q2,3.8178088607829785
